model_id,model,gpu_id,gpu,quant,context_tokens,need_gb,verdict,max_context_tokens,tokens_per_second_ceiling
llama-3.2-3b,Llama 3.2 3B,rtx-3060-12,RTX 3060 12 GB,FP16,8192,8.1,fits,36864,39
llama-3.2-3b,Llama 3.2 3B,rtx-3060-12,RTX 3060 12 GB,Q8_0,8192,4.97,fits,63488,74
llama-3.2-3b,Llama 3.2 3B,rtx-3060-12,RTX 3060 12 GB,Q6_K,8192,4.17,fits,70656,96
llama-3.2-3b,Llama 3.2 3B,rtx-3060-12,RTX 3060 12 GB,Q5_K_M,8192,3.8,fits,73728,111
llama-3.2-3b,Llama 3.2 3B,rtx-3060-12,RTX 3060 12 GB,Q4_K_M,8192,3.37,fits,77824,136
llama-3.2-3b,Llama 3.2 3B,rtx-3060-12,RTX 3060 12 GB,Q3_K_M,8192,3,fits,80896,168
llama-3.2-3b,Llama 3.2 3B,rtx-4060-ti-16,RTX 4060 Ti 16 GB,FP16,8192,8.1,fits,69632,31
llama-3.2-3b,Llama 3.2 3B,rtx-4060-ti-16,RTX 4060 Ti 16 GB,Q8_0,8192,4.97,fits,97280,59
llama-3.2-3b,Llama 3.2 3B,rtx-4060-ti-16,RTX 4060 Ti 16 GB,Q6_K,8192,4.17,fits,103424,77
llama-3.2-3b,Llama 3.2 3B,rtx-4060-ti-16,RTX 4060 Ti 16 GB,Q5_K_M,8192,3.8,fits,107520,89
llama-3.2-3b,Llama 3.2 3B,rtx-4060-ti-16,RTX 4060 Ti 16 GB,Q4_K_M,8192,3.37,fits,110592,109
llama-3.2-3b,Llama 3.2 3B,rtx-4060-ti-16,RTX 4060 Ti 16 GB,Q3_K_M,8192,3,fits,113664,134
llama-3.2-3b,Llama 3.2 3B,rtx-4070,RTX 4070 12 GB,FP16,8192,8.1,fits,36864,55
llama-3.2-3b,Llama 3.2 3B,rtx-4070,RTX 4070 12 GB,Q8_0,8192,4.97,fits,63488,104
llama-3.2-3b,Llama 3.2 3B,rtx-4070,RTX 4070 12 GB,Q6_K,8192,4.17,fits,70656,134
llama-3.2-3b,Llama 3.2 3B,rtx-4070,RTX 4070 12 GB,Q5_K_M,8192,3.8,fits,73728,155
llama-3.2-3b,Llama 3.2 3B,rtx-4070,RTX 4070 12 GB,Q4_K_M,8192,3.37,fits,77824,190
llama-3.2-3b,Llama 3.2 3B,rtx-4070,RTX 4070 12 GB,Q3_K_M,8192,3,fits,80896,235
llama-3.2-3b,Llama 3.2 3B,rtx-3090,RTX 3090 24 GB,FP16,8192,8.1,fits,131072,102
llama-3.2-3b,Llama 3.2 3B,rtx-3090,RTX 3090 24 GB,Q8_0,8192,4.97,fits,131072,193
llama-3.2-3b,Llama 3.2 3B,rtx-3090,RTX 3090 24 GB,Q6_K,8192,4.17,fits,131072,250
llama-3.2-3b,Llama 3.2 3B,rtx-3090,RTX 3090 24 GB,Q5_K_M,8192,3.8,fits,131072,288
llama-3.2-3b,Llama 3.2 3B,rtx-3090,RTX 3090 24 GB,Q4_K_M,8192,3.37,fits,131072,353
llama-3.2-3b,Llama 3.2 3B,rtx-3090,RTX 3090 24 GB,Q3_K_M,8192,3,fits,131072,436
llama-3.2-3b,Llama 3.2 3B,rtx-4090,RTX 4090 24 GB,FP16,8192,8.1,fits,131072,110
llama-3.2-3b,Llama 3.2 3B,rtx-4090,RTX 4090 24 GB,Q8_0,8192,4.97,fits,131072,208
llama-3.2-3b,Llama 3.2 3B,rtx-4090,RTX 4090 24 GB,Q6_K,8192,4.17,fits,131072,269
llama-3.2-3b,Llama 3.2 3B,rtx-4090,RTX 4090 24 GB,Q5_K_M,8192,3.8,fits,131072,311
llama-3.2-3b,Llama 3.2 3B,rtx-4090,RTX 4090 24 GB,Q4_K_M,8192,3.37,fits,131072,380
llama-3.2-3b,Llama 3.2 3B,rtx-4090,RTX 4090 24 GB,Q3_K_M,8192,3,fits,131072,469
llama-3.2-3b,Llama 3.2 3B,rtx-5090,RTX 5090 32 GB,FP16,8192,8.1,fits,131072,196
llama-3.2-3b,Llama 3.2 3B,rtx-5090,RTX 5090 32 GB,Q8_0,8192,4.97,fits,131072,370
llama-3.2-3b,Llama 3.2 3B,rtx-5090,RTX 5090 32 GB,Q6_K,8192,4.17,fits,131072,478
llama-3.2-3b,Llama 3.2 3B,rtx-5090,RTX 5090 32 GB,Q5_K_M,8192,3.8,fits,131072,552
llama-3.2-3b,Llama 3.2 3B,rtx-5090,RTX 5090 32 GB,Q4_K_M,8192,3.37,fits,131072,676
llama-3.2-3b,Llama 3.2 3B,rtx-5090,RTX 5090 32 GB,Q3_K_M,8192,3,fits,131072,834
llama-3.2-3b,Llama 3.2 3B,rtx-6000-ada,RTX 6000 Ada 48 GB,FP16,8192,8.1,fits,131072,105
llama-3.2-3b,Llama 3.2 3B,rtx-6000-ada,RTX 6000 Ada 48 GB,Q8_0,8192,4.97,fits,131072,198
llama-3.2-3b,Llama 3.2 3B,rtx-6000-ada,RTX 6000 Ada 48 GB,Q6_K,8192,4.17,fits,131072,256
llama-3.2-3b,Llama 3.2 3B,rtx-6000-ada,RTX 6000 Ada 48 GB,Q5_K_M,8192,3.8,fits,131072,296
llama-3.2-3b,Llama 3.2 3B,rtx-6000-ada,RTX 6000 Ada 48 GB,Q4_K_M,8192,3.37,fits,131072,362
llama-3.2-3b,Llama 3.2 3B,rtx-6000-ada,RTX 6000 Ada 48 GB,Q3_K_M,8192,3,fits,131072,447
llama-3.2-3b,Llama 3.2 3B,l40s,L40S 48 GB,FP16,8192,8.1,fits,131072,94
llama-3.2-3b,Llama 3.2 3B,l40s,L40S 48 GB,Q8_0,8192,4.97,fits,131072,178
llama-3.2-3b,Llama 3.2 3B,l40s,L40S 48 GB,Q6_K,8192,4.17,fits,131072,230
llama-3.2-3b,Llama 3.2 3B,l40s,L40S 48 GB,Q5_K_M,8192,3.8,fits,131072,266
llama-3.2-3b,Llama 3.2 3B,l40s,L40S 48 GB,Q4_K_M,8192,3.37,fits,131072,326
llama-3.2-3b,Llama 3.2 3B,l40s,L40S 48 GB,Q3_K_M,8192,3,fits,131072,402
llama-3.2-3b,Llama 3.2 3B,rtx-pro-6000,RTX PRO 6000 Blackwell 96 GB,FP16,8192,8.1,fits,131072,196
llama-3.2-3b,Llama 3.2 3B,rtx-pro-6000,RTX PRO 6000 Blackwell 96 GB,Q8_0,8192,4.97,fits,131072,370
llama-3.2-3b,Llama 3.2 3B,rtx-pro-6000,RTX PRO 6000 Blackwell 96 GB,Q6_K,8192,4.17,fits,131072,478
llama-3.2-3b,Llama 3.2 3B,rtx-pro-6000,RTX PRO 6000 Blackwell 96 GB,Q5_K_M,8192,3.8,fits,131072,552
llama-3.2-3b,Llama 3.2 3B,rtx-pro-6000,RTX PRO 6000 Blackwell 96 GB,Q4_K_M,8192,3.37,fits,131072,676
llama-3.2-3b,Llama 3.2 3B,rtx-pro-6000,RTX PRO 6000 Blackwell 96 GB,Q3_K_M,8192,3,fits,131072,834
llama-3.2-3b,Llama 3.2 3B,a100-80,A100 80 GB,FP16,8192,8.1,fits,131072,223
llama-3.2-3b,Llama 3.2 3B,a100-80,A100 80 GB,Q8_0,8192,4.97,fits,131072,421
llama-3.2-3b,Llama 3.2 3B,a100-80,A100 80 GB,Q6_K,8192,4.17,fits,131072,544
llama-3.2-3b,Llama 3.2 3B,a100-80,A100 80 GB,Q5_K_M,8192,3.8,fits,131072,628
llama-3.2-3b,Llama 3.2 3B,a100-80,A100 80 GB,Q4_K_M,8192,3.37,fits,131072,769
llama-3.2-3b,Llama 3.2 3B,a100-80,A100 80 GB,Q3_K_M,8192,3,fits,131072,949
llama-3.2-3b,Llama 3.2 3B,h100-sxm,H100 SXM 80 GB,FP16,8192,8.1,fits,131072,367
llama-3.2-3b,Llama 3.2 3B,h100-sxm,H100 SXM 80 GB,Q8_0,8192,4.97,fits,131072,692
llama-3.2-3b,Llama 3.2 3B,h100-sxm,H100 SXM 80 GB,Q6_K,8192,4.17,fits,131072,894
llama-3.2-3b,Llama 3.2 3B,h100-sxm,H100 SXM 80 GB,Q5_K_M,8192,3.8,fits,131072,1033
