model_id,model,quant,bytes_per_param,context_tokens,weights_gb,kv_cache_gb,overhead_gb,total_gb,total_gb_q8_cache
llama-3.2-3b,Llama 3.2 3B,FP16,2,4096,6.4,0.47,0.76,7.63,7.39
llama-3.2-3b,Llama 3.2 3B,FP16,2,8192,6.4,0.94,0.76,8.1,7.63
llama-3.2-3b,Llama 3.2 3B,FP16,2,16384,6.4,1.88,0.76,9.04,8.1
llama-3.2-3b,Llama 3.2 3B,FP16,2,32768,6.4,3.76,0.76,10.91,9.04
llama-3.2-3b,Llama 3.2 3B,FP16,2,65536,6.4,7.52,0.76,14.67,10.91
llama-3.2-3b,Llama 3.2 3B,FP16,2,131072,6.4,15.03,0.76,22.19,14.67
llama-3.2-3b,Llama 3.2 3B,Q8_0,1.06,4096,3.39,0.47,0.64,4.5,4.26
llama-3.2-3b,Llama 3.2 3B,Q8_0,1.06,8192,3.39,0.94,0.64,4.97,4.5
llama-3.2-3b,Llama 3.2 3B,Q8_0,1.06,16384,3.39,1.88,0.64,5.91,4.97
llama-3.2-3b,Llama 3.2 3B,Q8_0,1.06,32768,3.39,3.76,0.64,7.79,5.91
llama-3.2-3b,Llama 3.2 3B,Q8_0,1.06,65536,3.39,7.52,0.64,11.54,7.79
llama-3.2-3b,Llama 3.2 3B,Q8_0,1.06,131072,3.39,15.03,0.64,19.06,11.54
llama-3.2-3b,Llama 3.2 3B,Q6_K,0.82,4096,2.62,0.47,0.6,3.7,3.46
llama-3.2-3b,Llama 3.2 3B,Q6_K,0.82,8192,2.62,0.94,0.6,4.17,3.7
llama-3.2-3b,Llama 3.2 3B,Q6_K,0.82,16384,2.62,1.88,0.6,5.11,4.17
llama-3.2-3b,Llama 3.2 3B,Q6_K,0.82,32768,2.62,3.76,0.6,6.99,5.11
llama-3.2-3b,Llama 3.2 3B,Q6_K,0.82,65536,2.62,7.52,0.6,10.75,6.99
llama-3.2-3b,Llama 3.2 3B,Q6_K,0.82,131072,2.62,15.03,0.6,18.26,10.75
llama-3.2-3b,Llama 3.2 3B,Q5_K_M,0.71,4096,2.27,0.47,0.59,3.33,3.1
llama-3.2-3b,Llama 3.2 3B,Q5_K_M,0.71,8192,2.27,0.94,0.59,3.8,3.33
llama-3.2-3b,Llama 3.2 3B,Q5_K_M,0.71,16384,2.27,1.88,0.59,4.74,3.8
llama-3.2-3b,Llama 3.2 3B,Q5_K_M,0.71,32768,2.27,3.76,0.59,6.62,4.74
llama-3.2-3b,Llama 3.2 3B,Q5_K_M,0.71,65536,2.27,7.52,0.59,10.38,6.62
llama-3.2-3b,Llama 3.2 3B,Q5_K_M,0.71,131072,2.27,15.03,0.59,17.9,10.38
llama-3.2-3b,Llama 3.2 3B,Q4_K_M,0.58,4096,1.86,0.47,0.57,2.9,2.67
llama-3.2-3b,Llama 3.2 3B,Q4_K_M,0.58,8192,1.86,0.94,0.57,3.37,2.9
llama-3.2-3b,Llama 3.2 3B,Q4_K_M,0.58,16384,1.86,1.88,0.57,4.31,3.37
llama-3.2-3b,Llama 3.2 3B,Q4_K_M,0.58,32768,1.86,3.76,0.57,6.19,4.31
llama-3.2-3b,Llama 3.2 3B,Q4_K_M,0.58,65536,1.86,7.52,0.57,9.95,6.19
llama-3.2-3b,Llama 3.2 3B,Q4_K_M,0.58,131072,1.86,15.03,0.57,17.46,9.95
llama-3.2-3b,Llama 3.2 3B,Q3_K_M,0.47,4096,1.5,0.47,0.56,2.53,2.3
llama-3.2-3b,Llama 3.2 3B,Q3_K_M,0.47,8192,1.5,0.94,0.56,3,2.53
llama-3.2-3b,Llama 3.2 3B,Q3_K_M,0.47,16384,1.5,1.88,0.56,3.94,3
llama-3.2-3b,Llama 3.2 3B,Q3_K_M,0.47,32768,1.5,3.76,0.56,5.82,3.94
llama-3.2-3b,Llama 3.2 3B,Q3_K_M,0.47,65536,1.5,7.52,0.56,9.58,5.82
llama-3.2-3b,Llama 3.2 3B,Q3_K_M,0.47,131072,1.5,15.03,0.56,17.1,9.58
qwen3.5-4b,Qwen3.5 4B,FP16,2,4096,9.4,0.18,0.88,10.46,10.39
qwen3.5-4b,Qwen3.5 4B,FP16,2,8192,9.4,0.32,0.88,10.59,10.46
qwen3.5-4b,Qwen3.5 4B,FP16,2,16384,9.4,0.59,0.88,10.86,10.59
qwen3.5-4b,Qwen3.5 4B,FP16,2,32768,9.4,1.12,0.88,11.4,10.86
qwen3.5-4b,Qwen3.5 4B,FP16,2,65536,9.4,2.2,0.88,12.47,11.4
qwen3.5-4b,Qwen3.5 4B,FP16,2,131072,9.4,4.34,0.88,14.62,12.47
qwen3.5-4b,Qwen3.5 4B,FP16,2,262144,9.4,8.64,0.88,18.92,14.62
qwen3.5-4b,Qwen3.5 4B,Q8_0,1.06,4096,4.98,0.18,0.7,5.87,5.8
qwen3.5-4b,Qwen3.5 4B,Q8_0,1.06,8192,4.98,0.32,0.7,6,5.87
qwen3.5-4b,Qwen3.5 4B,Q8_0,1.06,16384,4.98,0.59,0.7,6.27,6
qwen3.5-4b,Qwen3.5 4B,Q8_0,1.06,32768,4.98,1.12,0.7,6.81,6.27
qwen3.5-4b,Qwen3.5 4B,Q8_0,1.06,65536,4.98,2.2,0.7,7.88,6.81
qwen3.5-4b,Qwen3.5 4B,Q8_0,1.06,131072,4.98,4.34,0.7,10.03,7.88
qwen3.5-4b,Qwen3.5 4B,Q8_0,1.06,262144,4.98,8.64,0.7,14.32,10.03
qwen3.5-4b,Qwen3.5 4B,Q6_K,0.82,4096,3.85,0.18,0.65,4.69,4.63
qwen3.5-4b,Qwen3.5 4B,Q6_K,0.82,8192,3.85,0.32,0.65,4.83,4.69
qwen3.5-4b,Qwen3.5 4B,Q6_K,0.82,16384,3.85,0.59,0.65,5.1,4.83
qwen3.5-4b,Qwen3.5 4B,Q6_K,0.82,32768,3.85,1.12,0.65,5.63,5.1
